City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
474,Diapaga,BF,12.0708,1.7889,102.58,5,33,2.08,scattered clouds
475,Cuamba,MZ,-14.8031,36.5372,69.78,95,75,4.29,light rain
476,Omboue,GA,-1.5746,9.2618,81.68,77,75,10.98,light rain
477,Port-Gentil,GA,-0.7193,8.7815,87.8,70,20,12.66,light rain
478,Fort-Shevchenko,KZ,44.5086,50.263,48.6,80,24,9.78,few clouds
479,Tuatapere,NZ,-46.1333,167.6833,57.0,69,42,3.0,scattered clouds
480,Manokwari,ID,-0.8667,134.0833,78.37,84,94,7.05,overcast clouds
481,Moose Factory,CA,51.2585,-80.6094,32.0,74,40,3.44,scattered clouds
482,Hobyo,SO,5.3505,48.5268,83.52,66,76,13.73,broken clouds
483,Chapais,CA,49.7834,-74.8492,33.8,55,90,2.73,overcast clouds
484,Saint-Francois,FR,46.4154,3.9054,60.01,34,0,1.01,clear sky
485,Aswan,EG,24.0934,32.907,80.62,6,0,11.23,clear sky
486,Beisfjord,NO,68.3751,17.5988,32.0,80,75,8.05,broken clouds
487,Menongue,AO,-14.6585,17.691,73.47,60,34,5.06,scattered clouds
488,Katangli,RU,51.7102,143.2326,15.49,86,44,9.66,scattered clouds
489,Nara,JP,34.6851,135.8049,55.99,74,100,6.91,overcast clouds
490,Hasaki,JP,35.7333,140.8333,64.4,94,75,8.05,moderate rain
491,Douglas,US,41.3,-96.167,70.0,52,1,5.75,clear sky
492,Gorontalo,ID,0.5412,123.0595,76.01,93,91,3.53,overcast clouds
493,Am Timan,TD,11.0297,20.2827,101.53,9,51,5.12,broken clouds
494,Bosaso,SO,11.2842,49.1816,80.1,60,50,2.15,scattered clouds
495,Shambu,ET,9.5667,37.1,66.63,37,77,3.18,broken clouds
496,Carballo,ES,43.213,-8.691,66.2,48,0,8.05,clear sky
497,Goundi,TD,9.3627,17.366,103.14,16,59,5.06,broken clouds
498,Westport,US,41.1415,-73.3579,54.0,31,90,3.44,overcast clouds
499,Oktyabrskoye,RU,43.0645,44.7417,59.0,41,12,11.18,few clouds
500,Almaznyy,RU,48.0448,40.045,39.2,93,75,11.18,light rain
501,Fairfield,US,41.2668,-73.3162,52.0,29,90,4.79,overcast clouds
502,Karatuzskoye,RU,53.6072,92.8667,25.84,99,33,3.11,scattered clouds
503,Fort Saint James,CA,54.4333,-124.25,33.71,70,9,5.53,clear sky
504,Veraval,IN,20.9,70.3667,79.45,79,3,7.58,clear sky
505,Rajapur,IN,25.3833,81.15,86.74,5,0,5.61,clear sky
506,Noumea,NC,-22.2763,166.4572,77.0,73,0,3.44,clear sky
507,Anadyr,RU,64.75,177.4833,-13.0,77,20,4.47,few clouds
508,Camopi,GF,3.1655,-52.3158,78.78,93,100,3.76,overcast clouds
509,Agua Dulce,MX,18.1333,-94.1333,75.2,69,20,4.61,few clouds
510,Caconda,AO,-13.7333,15.0667,72.46,62,23,5.7,few clouds
511,Harlingen,US,26.1906,-97.6961,75.0,73,40,14.97,scattered clouds
512,Nouakchott,MR,18.0858,-15.9785,105.8,9,95,16.11,overcast clouds
513,Vassouras,BR,-22.4039,-43.6625,82.4,69,20,9.22,few clouds
514,Rzhyshchiv,UA,49.9689,31.0463,44.6,61,20,11.18,few clouds
515,Mattru,SL,7.6244,-11.8332,88.72,55,91,8.81,overcast clouds
516,Comodoro Rivadavia,AR,-45.8667,-67.5,71.6,56,0,6.17,clear sky
517,Vawkavysk,BY,53.1561,24.4513,46.4,31,75,13.42,broken clouds
518,Wewak,PG,-3.5534,143.6268,78.8,85,100,2.89,overcast clouds
519,Portland,US,45.5234,-122.6762,51.01,66,75,9.22,broken clouds
520,Kochi,IN,9.9399,76.2602,84.2,70,20,3.44,haze
521,Manzhouli,CN,49.6,117.4333,39.65,54,8,19.01,clear sky
522,Farafangana,MG,-22.8167,47.8333,78.66,83,1,12.33,clear sky
523,The Valley,AI,18.217,-63.0578,82.4,65,40,17.27,scattered clouds
524,Salmas,IR,38.1973,44.7653,51.8,40,20,4.61,few clouds
525,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,93,90,12.66,overcast clouds
526,Delemont,CH,47.3649,7.3445,59.0,24,0,11.5,clear sky
527,Eureka,US,40.8021,-124.1637,50.0,85,97,1.86,overcast clouds
528,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,77,20,12.3,few clouds
529,Fenyi,CN,27.8112,114.6681,56.35,90,100,2.01,light rain
530,Dogondoutchi,NE,13.6393,4.0287,100.71,6,6,3.6,clear sky
531,Yunyang,CN,33.4474,112.7142,50.56,46,100,0.78,overcast clouds
532,Wukari,NG,7.85,9.7833,102.16,11,100,6.06,overcast clouds
533,Kangaatsiaq,GL,68.3065,-53.4641,18.63,55,100,29.8,light snow
534,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.16,38,99,4.97,overcast clouds
535,Lac Du Bonnet,CA,50.2536,-96.0612,51.01,93,89,5.01,overcast clouds
536,Fort Smith,US,35.3859,-94.3986,66.0,58,1,3.44,smoke
537,Dukat,RU,62.55,155.55,-17.14,99,97,3.89,overcast clouds
538,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,76.33,62,10,9.08,clear sky
539,Acarau,BR,-2.8856,-40.12,84.74,70,100,14.7,overcast clouds
540,Eyl,SO,7.9803,49.8164,81.77,70,12,12.12,few clouds
541,Lumeje,AO,-11.55,20.7833,73.87,67,99,2.68,overcast clouds
542,Hurghada,EG,27.2574,33.8129,80.6,21,0,10.36,clear sky
543,Kamennomostskiy,RU,44.2983,40.1856,52.34,69,100,5.21,overcast clouds
544,Staryy Nadym,RU,65.6118,72.6842,33.01,98,100,12.3,overcast clouds
545,Race,SI,46.4519,15.6814,48.99,40,40,1.14,scattered clouds
546,Zhigalovo,RU,54.8097,105.1578,22.98,97,62,3.44,broken clouds
547,Puerto Ayacucho,VE,5.6639,-67.6236,91.17,51,68,5.06,moderate rain
548,Butte,US,39.6499,-121.5677,51.01,76,1,3.44,clear sky
549,Waingapu,ID,-9.6567,120.2641,77.83,84,100,10.16,overcast clouds
550,Silver City,US,32.7701,-108.2803,66.2,32,1,6.91,clear sky
551,Pand,HU,47.3533,19.6357,53.01,37,0,5.75,clear sky
552,Tarakan,ID,3.3,117.6333,81.14,81,61,9.46,broken clouds
553,Nome,US,64.5011,-165.4064,1.4,71,20,23.02,snow
